Name,Price,Product Details
Sharpie®FinePointPermanentMarkers GrayBarrel BlackInk PackOf12, $6.99 ,"Item :203349 ,OfficeMax :10000722,Manufacturer :30001 ,point type: Fine ,Color (Barrel): Gray ,Color (Ink): Black ,pocket clip: Yes ,erasable: No ,grip type: Contoured ,Low Viscosity: No ,magnetic: No ,odorless: No ,Permanent: Yes ,Pressure-Resistant Tip: Yes ,refillable: No ,retractable: No ,Smudge Resistant: Yes ,visible ink supply: No ,washable: No ,ink type: Liquid ,Product Line: Sharpie Permanent Markers ,marker type: Permanent ,Quick Drying: Yes ,quantity: 12 ,brand name: Sharpie ,Eco-conscious: Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,manufacturer: NEWELL BRANDS INC. ,Product Type: Marker Pen ,Marker Point: Fine"
"BIC®Wite-OutBrandEZCorrectCorrectionTape 3/16""x471-3/16"" White PackOf10Cartridges", $19.99 ,"Item :826876 ,OfficeMax :20216696,Manufacturer :WOTAP10 ,length: 471-3/16 in. ,quantity: 10 ,color: White ,Color (Dispenser): Assorted ,line coverage: 1 ,refillable: No ,width: 3/16 in. ,Product Line: Wite-Out EZ Correct ,material family: Plastic ,brand name: BIC ,manufacturer: BIC CORP ,Product Type: Correction Tape ,Additional Information: ,assembly required: No ,Product Name: Wite-Out EZ Correct Correction Tape ,tape color: White ,tape length: 11987.784"
Ticonderoga®Pencils #2Lead MediumSoft Packof24, $2.99 ,"Item :424558 ,OfficeMax :21232925,Manufacturer :13924 ,Color (Barrel): Yellow ,primary material: Wood ,material family: Wood ,eraser included: Yes ,grip type: Hexagonal ,lead type: 2 Medium Soft ,Material (barrel): Wood ,presharpened: No ,Product Line: Ticonderoga ,quantity: 24 ,brand name: Dixon ,Eco-conscious: Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,manufacturer: DIXON TICONDEROGA COMPANY ,Product Type: Standard Pencil ,Finishing: Satin ,Lead Degree (Hardness): 2"
BIC®RoundStic®BallpointPens MediumPoint 1.0mm TranslucentBarrel BlackInk PackOf60Pens, $3.99 ,"Item :664011 ,OfficeMax :10115742,Manufacturer :GSM60-BLACK ,point size: 1.0 mm ,Color (Barrel): Translucent ,point type: Medium ,Color (Ink): Black ,erasable: No ,grip type: None ,ink type: Water Based ,refillable: No ,retractable: No ,pocket clip: Yes ,visible ink supply: Yes ,Product Line: Round Stic Xtra Life ,material family: Plastic ,quantity: 60 ,brand name: BIC ,manufacturer: BIC CORP ,Product Type: Ballpoint Pen"
EXPO®Low-OdorDry-EraseMarkers ChiselPoint AssortedColors PackOf4Markers, $3.49 ,"Item :284571 ,OfficeMax :10014824,Manufacturer :80174 ,quantity: 4 ,Color (Barrel): Green; Red; Blue; Black ,Color (Ink): Green; Red; Blue; Black ,point type: Chisel ,retractable: No ,grip type: None ,Eraser Tip: No ,Barrel Type: Tank ,magnetic: No ,odorless: No ,pocket clip: No ,scented: No ,visible ink supply: No ,Product Line: Low Odor ,washable: Yes ,brand name: Expo ,Eco-conscious: Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,manufacturer: NEWELL BRANDS INC. ,Product Type: Dry-Erase Marker ,Certifications & Standards: ,Product Name: Low-Odor Dry Erase Chisel Tip Markers ,Marker Point Style: Chisel"
OfficeDepot®BrandManualPencilSharpeners AssortedColors, $0.50 ,"Item :769891 ,OfficeMax :25250291,Manufacturer :SHA012N ,color: Blue; Yellow; Green; Pink; Red; Orange ,primary material: Plastic ,material family: Plastic ,Material (Cutter): Steel ,Recommended Sharpener Use: Standard Pencils ,depth: 1.57 in. ,height: 3.35 in. ,width: 1.57 in. ,Product Line: Manual Pencil Sharpeners ,quantity: 1 ,brand name: Office Depot ,Distributed By: Office Depot Inc. ,manufacturer: OFFICE DEPOT ,Product Type: Manual Pencil Sharpener"
Ticonderoga®Pencil #2Lead Soft Packof12, $1.99 ,"Item :314417 ,OfficeMax :21512944,Manufacturer :13812 ,Color (Barrel): Yellow ,primary material: Wood ,material family: Wood ,eraser included: Yes ,grip type: Hexagonal ,lead type: 2 Soft ,presharpened: No ,Product Line: Ticonderoga ,quantity: 12 ,brand name: Dixon ,Eco-conscious: Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,manufacturer: DIXON TICONDEROGA COMPANY ,Product Type: Standard Pencil"
Crayola®BroadLineMarkers AssortedClassicColors BoxOf10, $1.25 ,"Item :764180 ,OfficeMax :10101891,Manufacturer :58-7722 ,Color (Barrel): White ,Color (Ink): Black; Blue; Brown; Gray; Green; Pink; Purple; Red; Yellow ,erasable: No ,grip type: Resin ,Low Viscosity: Yes ,marker type: Marking ,odorless: Yes ,point type: Medium ,scented: No ,washable: No ,quantity: 10 ,brand name: Crayola ,Eco-conscious: Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,manufacturer: CRAYOLA LLC ,Product Type: Art Marker"
OfficeDepot®BrandBeveledErasers Pink PackOf3Erasers, $1.49 ,"Item :179487 ,OfficeMax :24986945,Manufacturer :RW179487 ,color: Pink ,primary material: Rubber ,Recommended Medium: Lead ,Smudge Resistant: Yes ,material family: Rubber ,quantity: 3 ,brand name: Office Depot ,Distributed By: Office Depot Inc. ,Product Type: Cube Eraser"
BIC®Wite-Out®CorrectionTape PackOf4CorrectionTapeDispensers, $10.99 ,"Item :581985 ,OfficeMax :20042543,Manufacturer :WOTAPP4D-WHI ,color: White ,refillable: No ,length: 314-2/5 in. ,Product Line: Wite-Out ,material family: Plastic ,quantity: 4 ,brand name: BIC ,manufacturer: BIC CORP ,Product Type: Correction Tape ,tape color: White ,Product Name: Wite-Out EZ Correct Correction Tape"
Sharpie®Accent®PocketHighlighters Assorted PackOf12, $5.99 ,"Item :755290 ,OfficeMax :22125442,Manufacturer :27145 ,quantity: 12 ,point type: Chisel ,Color (Barrel): Assorted to match ink color ,Color (Ink): Blue; Green; Orange; Pink; Purple; Yellow ,Airplane Safe: Yes ,Barrel Type: Stick ,Copy Proof: Yes ,erasable: No ,grip type: Contoured ,odorless: Yes ,pocket clip: Yes ,refillable: No ,retractable: No ,Smudge Resistant: Yes ,visible ink supply: No ,washable: No ,Product Line: Accent Pocket ,brand name: Sharpie ,Eco-conscious: Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,manufacturer: NEWELL BRANDS INC. ,Product Type: Highlighter"
EXPO®Low-OdorDry-EraseMarkers FinePoint AssortedColors PackOf4, $3.49 ,"Item :268601 ,OfficeMax :21011405,Manufacturer :86674 ,Color (Ink): Black; Blue; Green; Red ,point type: Fine ,retractable: No ,grip type: Contoured ,magnetic: No ,odorless: No ,pocket clip: No ,scented: No ,visible ink supply: No ,Product Line: Low Odor ,washable: No ,quantity: 4 ,brand name: Expo ,Eco-conscious: Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,manufacturer: NEWELL BRANDS INC. ,Product Type: Dry-Erase Marker ,Product Name: Low-Odor Dry-erase Fine Tip Markers ,Marker Point: Fine ,Certifications & Standards:"
BIC®BriteLiner®Highlighters ChiselPoint Assorted 5-Pack, $1.99 ,"Item :942742 ,OfficeMax :21324693,Manufacturer :BLP51W-AST ,quantity: 5 ,point type: Chisel ,Color (Barrel): Assorted ,Color (Ink): Blue; Green; Pink; Orange; Yellow ,erasable: No ,grip type: None ,refillable: No ,retractable: No ,washable: No ,Product Line: Brite Liner ,brand name: BIC ,manufacturer: BIC CORP ,Product Type: Highlighter"
