Name,Price,Product Details
"
				Sharpie Fine Point Retractable Markers - Fine Marker Point - Yes - Red - 1 Each
				
		        		












	
			,
			
		        
	        ", $5.09 ,"Item #:200879 ,Manufacturer #:SAN32702  ,point type:
												Fine
											,Color (Barrel):
												White
											,Color (Ink):
												Red
											,erasable:
												No
											,grip type:
												None
											,Low Viscosity:
												No
											,magnetic:
												No
											,Permanent:
												Yes
											,refillable:
												No
											,retractable:
												Yes
											,washable:
												No
											,ink type:
												Liquid
											,marker type:
												Marking
											,Quick Drying:
												Yes
											,quantity:
												1
											,brand name:
												Sharpie
											,manufacturer:
												SANFORD LP
											,Product Type:
												Marker Pen
											"
"
				Paper Mate Erasermate Ballpoint Pens - Medium Pen Point Type - Blue - Blue Barrel - 1 Dozen
				
		        		












	
			,
			
		        
	        ", $15.79 ,"Item #:456137 ,Manufacturer #:39101  ,barrel color:
											Blue
										,brand name:
											Paper Mate
										,grip type:
											Ergonomic
										,ink color:
											Blue
										,manufacturer:
											Newell Rubbermaid, Inc
										,Number Of Pens:
											12
										,point type:
											Medium
										,Product Line:
											EraserMate
										,Product Type:
											Pen
										,quantity:
											12
										"
"
				Uni-Paint® Markers, Fine Point, Blue, Pack Of 12
				
		        		












	
			,
			
		        
	        ", $41.89 ,"Item #:528182 ,OfficeMax #:25493029,Manufacturer #:UBC63703DZ  ,Color (Ink):
												Blue
											,erasable:
												No
											,grip type:
												Contoured
											,Low Viscosity:
												No
											,marker type:
												Paint
											,odorless:
												No
											,point type:
												Fine
											,refillable:
												No
											,retractable:
												No
											,scented:
												No
											,Smudge Resistant:
												Yes
											,visible ink supply:
												No
											,washable:
												No
											,ink type:
												Oil Based
											,Finish (Ink):
												Standard
											,Product Line:
												Paint Markers
											,quantity:
												12
											,brand name:
												Sanford
											,Eco-conscious:
												Less Harsh Chemicals
											,Eco Label Standard:
												Certified AP Nontoxic
											,Product Type:
												Art Marker
											,assembly required:
												No
											,ink color:
												Blue
											,Marker Point:
												Fine
											,Product Model:
												PX-21
											"
"
				Stanley® Bostitch® QuietSharp Glow Electric Classroom Pencil Sharpener, Silver
				
		        		












	
			,
			
		        
	        ", $73.09 ,"Item #:286224 ,OfficeMax #:22475769,Manufacturer #:EPS11HC  ,color:
												Silver
											,material family:
												Metal
											,automatic start/stop:
												Yes
											,Material (Cutter):
												Steel
											,overload protection:
												Yes
											,width:
												6-1/8 in.
											,Recommended Sharpener Use:
												Adjustable
											,height:
												9 in.
											,Warranty:
												7-Year Limited
											,Product Line:
												QuietSharp Glow
											,power source:
												Plug-In
											,quantity:
												1
											,brand name:
												Stanley-Bostitch
											,manufacturer:
												BLACK & DECKER/INDUS. CONST.
											,Product Type:
												Electric Pencil Sharpener
											,Additional Information:
												"
"
				Integra Liquid Highlighter - Chisel Point Style - Yellow
				
		        		












	
			,
			
		        
	        ", $18.19 ,"Item #:552476 ,Manufacturer #:ITA30006  ,assembly required:
											No
										,brand name:
											Integra
										,ink color:
											Yellow
										,manufacturer:
											Integra
										,Point Style:
											Chisel
										,Product Type:
											Highlighter
										,refillable:
											No
										"
"
				Sharpie® Paint Marker, Bullet Point, White Ink
				
		        		












	
			,
			
		        
	        ", $3.79 ,"Item #:325365 ,OfficeMax #:20108848,Manufacturer #:63713EA  ,Color (Ink):
											White
										,pocket clip:
											No
										,retractable:
											No
										,Smudge Resistant:
											Yes
										,visible ink supply:
											No
										,washable:
											No
										,quantity:
											1
										,brand name:
											Sharpie
										,point type:
											Bullet
										,Product Type:
											Art Marker
										"
"
				Sharpie® Permanent Ultra-Fine Point Marker, Navy
				
		        		












	
			,
			
		        
	        ", $2.49 ,"Item #:186462 ,OfficeMax #:22436516,Manufacturer #:1769174  ,point type:
												Ultra Fine
											,Color (Ink):
												Navy
											,pocket clip:
												Yes
											,erasable:
												No
											,grip type:
												Contoured
											,Low Viscosity:
												No
											,magnetic:
												No
											,odorless:
												No
											,Permanent:
												Yes
											,Pressure-Resistant Tip:
												Yes
											,refillable:
												No
											,retractable:
												No
											,Smudge Resistant:
												Yes
											,visible ink supply:
												No
											,washable:
												No
											,ink type:
												Liquid
											,Product Line:
												Sharpie Permanent Markers
											,marker type:
												Permanent
											,Quick Drying:
												Yes
											,quantity:
												1
											,brand name:
												Sharpie
											,Eco-conscious:
												Less Harsh Chemicals
											,Eco Label Standard:
												Certified AP Nontoxic
											,manufacturer:
												NEWELL BRANDS INC.
											,Product Type:
												Marker Pen
											,Marker Point:
												Ultra Fine
											"
"
				Office Depot Brand Lead Refills, 0.7 mm, B Hardness, Tube Of 12 Leads, Pack Of 3 Tubes
				
		        		












	
			,
			
		        
	        ", $2.99 ,"Item #:139664 ,OfficeMax #:24995873,Manufacturer #:BF07BN  ,color:
											Black
										,Lead Size:
											0.7 mm
										,case included:
											Yes
										,High Break Resistance:
											Yes
										,lead type:
											B
										,Product Line:
											Office Depot Lead Refills - B
										,quantity:
											3
										,brand name:
											Office Depot
										,Distributed By:
											Office Depot Inc.
										,Product Type:
											Mechanical Pencil Refill
										"
"
				Rite In The Rain All Weather Mechanical Pencils, 1.1 mm, Black, Pack Of 6 Pencils
				
		        		












	
			,
			
		        
	        ", $117.99 ,"Item #:3348810 ,Manufacturer #:RITBK99  ,Color (Barrel):
											Black
										,Lead Size:
											1.1 mm
										,eraser included:
											Yes
										,grip type:
											None
										,refillable:
											Yes
										,retractable:
											Yes
										,Product Line:
											All-Weather
										,material family:
											Synthetic Rubber
										,quantity:
											6
										,brand name:
											Rite in the Rain
										,manufacturer:
											RITE IN THE RAIN
										,Product Type:
											Mechanical Pencil
										"
"
				Zebra Pen Sarasa Gel Retractable Pens - Bold Pen Point - 1 mm Pen Point Size - Refillable - Blue - Transparent Barrel
				
		        		












	
			,
			
		        
	        ", $19.49 ,"Item #:475562 ,OfficeMax #:20471151,Manufacturer #:ZEB46620  ,Color (Barrel):
												Transparent
											,point type:
												Bold
											,Color (Ink):
												Blue
											,grip type:
												Rubberized
											,ink type:
												Gel
											,Product Line:
												Sarasa
											,quantity:
												12
											,brand name:
												Zebra Pen
											,Product Type:
												Roller Pen
											,Pen Point:
												Bold
											,Additional Information:
												,pen point size:
												1
											,Environmentally Friendly:
												Yes
											,assembly required:
												No
											,Product Name:
												Sarasa Gel Retractable Pens
											"
"
				MMF Industries Secure-A-Pen Anti-Microbial Replacement Pen, Black
				
		        		












	
			,
			
		        
	        ", $4.99 ,"Item #:452076 ,OfficeMax #:21715477,Manufacturer #:MMF28704  ,Color (Barrel):
											Black
										,Color (Ink):
											Black
										,Product Line:
											Secure-A-Pen Anti-Microbial Replacement Pen
										,Attachment Method:
											Metal Chain
										,refillable:
											No
										,self-adhesive base:
											No
										,quantity:
											1
										,brand name:
											MMF
										,Product Type:
											Countertop Pens
										"
"
				Zebra® F402 Retractable Ballpoint Pen, Fine Point, 0.7 mm, Stainless Steel Barrel, Blue Ink
				
		        		












	
			,
			
		        
	        ", $4.69 ,"Item #:671435 ,OfficeMax #:22065872,Manufacturer #:ZEB29220  ,point size:
											0.7 mm
										,Color (Barrel):
												Stainless Steel
											,point type:
												Fine
											,Color (Ink):
												Blue
											,erasable:
												No
											,grip type:
												Gripping Pods
											,ink type:
												Oil Based
											,refillable:
												Yes
											,retractable:
												Yes
											,pocket clip:
												Yes
											,visible ink supply:
												No
											,Product Line:
												F-402
											,quantity:
												1
											,brand name:
												Zebra Pen
											,Post Consumer Recycled Content Percentage:
												0 %
											,Product Type:
												Ballpoint Pen
											,Total Recycled Content Percentage:
												0 %
											"
